id,name,group,db_field,cumulative,unit
0-50,LHT65 Battery level,Outdoor,payload.d.0.50,,
0-51,LHT65 Battery V,Outdoor,payload.d.0.51,,
0-52,Temperature,Outdoor,payload.d.0.52,,
0-53,Humidity,Outdoor,payload.d.0.53,,
0-54,Ext number,Outdoor,payload.d.0.54,,
0-55,External temperature,Outdoor,payload.d.0.55,,
2-1,Total power,Charging dock socket #1,payload.d.2.1,,
2-2,L1 power,Charging dock socket #1,payload.d.2.2,,
2-3,L2 power,Charging dock socket #1,payload.d.2.3,,
2-4,L3 power,Charging dock socket #1,payload.d.2.4,,
2-5,L1 current,Charging dock socket #1,payload.d.2.5,,
2-6,L2 current,Charging dock socket #1,payload.d.2.6,,
2-7,L3 current,Charging dock socket #1,payload.d.2.7,,
2-8,N current,Charging dock socket #1,payload.d.2.8,,
2-9,Frequency,Charging dock socket #1,payload.d.2.9,,
2-10,L1-N voltage,Charging dock socket #1,payload.d.2.10,,
2-11,L2-N voltage,Charging dock socket #1,payload.d.2.11,,
2-12,L3-N voltage,Charging dock socket #1,payload.d.2.12,,
2-13,L1-L2 voltage,Charging dock socket #1,payload.d.2.13,,
2-14,L3-L2 voltage,Charging dock socket #1,payload.d.2.14,,
2-15,L1-L3 voltage,Charging dock socket #1,payload.d.2.15,,
2-16,Total import,Charging dock socket #1,payload.d.2.16,,
2-17,Total export,Charging dock socket #1,payload.d.2.17,,
2-18,Total net,Charging dock socket #1,payload.d.2.18,,
2-19,L1 import,Charging dock socket #1,payload.d.2.19,,
2-20,L1 export,Charging dock socket #1,payload.d.2.20,,
2-21,L1 net,Charging dock socket #1,payload.d.2.21,,
2-22,L2 import,Charging dock socket #1,payload.d.2.22,,
2-23,L2 export,Charging dock socket #1,payload.d.2.23,,
2-24,L2 net,Charging dock socket #1,payload.d.2.24,,
2-25,L3 import,Charging dock socket #1,payload.d.2.25,,
2-26,L3 export,Charging dock socket #1,payload.d.2.26,,
2-27,L3 net,Charging dock socket #1,payload.d.2.27,,
3-1,Total power,Charging dock socket #2,payload.d.3.1,,
3-2,L1 power,Charging dock socket #2,payload.d.3.2,,
3-3,L2 power,Charging dock socket #2,payload.d.3.3,,
3-4,L3 power,Charging dock socket #2,payload.d.3.4,,
3-5,L1 current,Charging dock socket #2,payload.d.3.5,,
3-6,L2 current,Charging dock socket #2,payload.d.3.6,,
3-7,L3 current,Charging dock socket #2,payload.d.3.7,,
3-8,N current,Charging dock socket #2,payload.d.3.8,,
3-9,Frequency,Charging dock socket #2,payload.d.3.9,,
3-10,L1-N voltage,Charging dock socket #2,payload.d.3.10,,
3-11,L2-N voltage,Charging dock socket #2,payload.d.3.11,,
3-12,L3-N voltage,Charging dock socket #2,payload.d.3.12,,
3-13,L1-L2 voltage,Charging dock socket #2,payload.d.3.13,,
3-14,L3-L2 voltage,Charging dock socket #2,payload.d.3.14,,
3-15,L1-L3 voltage,Charging dock socket #2,payload.d.3.15,,
3-16,Total import,Charging dock socket #2,payload.d.3.16,,
3-17,Total export,Charging dock socket #2,payload.d.3.17,,
3-18,Total net,Charging dock socket #2,payload.d.3.18,,
3-19,L1 import,Charging dock socket #2,payload.d.3.19,,
3-20,L1 export,Charging dock socket #2,payload.d.3.20,,
3-21,L1 net,Charging dock socket #2,payload.d.3.21,,
3-22,L2 import,Charging dock socket #2,payload.d.3.22,,
3-23,L2 export,Charging dock socket #2,payload.d.3.23,,
3-24,L2 net,Charging dock socket #2,payload.d.3.24,,
3-25,L3 import,Charging dock socket #2,payload.d.3.25,,
3-26,L3 export,Charging dock socket #2,payload.d.3.26,,
3-27,L3 net,Charging dock socket #2,payload.d.3.27,,
4-1,Total power,Charging dock socket #3,payload.d.4.1,,
4-2,L1 power,Charging dock socket #3,payload.d.4.2,,
4-3,L2 power,Charging dock socket #3,payload.d.4.3,,
4-4,L3 power,Charging dock socket #3,payload.d.4.4,,
4-5,L1 current,Charging dock socket #3,payload.d.4.5,,
4-6,L2 current,Charging dock socket #3,payload.d.4.6,,
4-7,L3 current,Charging dock socket #3,payload.d.4.7,,
4-8,N current,Charging dock socket #3,payload.d.4.8,,
4-9,Frequency,Charging dock socket #3,payload.d.4.9,,
4-10,L1-N voltage,Charging dock socket #3,payload.d.4.10,,
4-11,L2-N voltage,Charging dock socket #3,payload.d.4.11,,
4-12,L3-N voltage,Charging dock socket #3,payload.d.4.12,,
4-13,L1-L2 voltage,Charging dock socket #3,payload.d.4.13,,
4-14,L3-L2 voltage,Charging dock socket #3,payload.d.4.14,,
4-15,L1-L3 voltage,Charging dock socket #3,payload.d.4.15,,
4-16,Total import,Charging dock socket #3,payload.d.4.16,,
4-17,Total export,Charging dock socket #3,payload.d.4.17,,
4-18,Total net,Charging dock socket #3,payload.d.4.18,,
4-19,L1 import,Charging dock socket #3,payload.d.4.19,,
4-20,L1 export,Charging dock socket #3,payload.d.4.20,,
4-21,L1 net,Charging dock socket #3,payload.d.4.21,,
4-22,L2 import,Charging dock socket #3,payload.d.4.22,,
4-23,L2 export,Charging dock socket #3,payload.d.4.23,,
4-24,L2 net,Charging dock socket #3,payload.d.4.24,,
4-25,L3 import,Charging dock socket #3,payload.d.4.25,,
4-26,L3 export,Charging dock socket #3,payload.d.4.26,,
4-27,L3 net,Charging dock socket #3,payload.d.4.27,,
5-1,Total power,Charging dock socket #4,payload.d.5.1,,
5-2,L1 power,Charging dock socket #4,payload.d.5.2,,
5-3,L2 power,Charging dock socket #4,payload.d.5.3,,
5-4,L3 power,Charging dock socket #4,payload.d.5.4,,
5-5,L1 current,Charging dock socket #4,payload.d.5.5,,
5-6,L2 current,Charging dock socket #4,payload.d.5.6,,
5-7,L3 current,Charging dock socket #4,payload.d.5.7,,
5-8,N current,Charging dock socket #4,payload.d.5.8,,
5-9,Frequency,Charging dock socket #4,payload.d.5.9,,
5-10,L1-N voltage,Charging dock socket #4,payload.d.5.10,,
5-11,L2-N voltage,Charging dock socket #4,payload.d.5.11,,
5-12,L3-N voltage,Charging dock socket #4,payload.d.5.12,,
5-13,L1-L2 voltage,Charging dock socket #4,payload.d.5.13,,
5-14,L3-L2 voltage,Charging dock socket #4,payload.d.5.14,,
5-15,L1-L3 voltage,Charging dock socket #4,payload.d.5.15,,
5-16,Total import,Charging dock socket #4,payload.d.5.16,,
5-17,Total export,Charging dock socket #4,payload.d.5.17,,
5-18,Total net,Charging dock socket #4,payload.d.5.18,,
5-19,L1 import,Charging dock socket #4,payload.d.5.19,,
5-20,L1 export,Charging dock socket #4,payload.d.5.20,,
5-21,L1 net,Charging dock socket #4,payload.d.5.21,,
5-22,L2 import,Charging dock socket #4,payload.d.5.22,,
5-23,L2 export,Charging dock socket #4,payload.d.5.23,,
5-24,L2 net,Charging dock socket #4,payload.d.5.24,,
5-25,L3 import,Charging dock socket #4,payload.d.5.25,,
5-26,L3 export,Charging dock socket #4,payload.d.5.26,,
5-27,L3 net,Charging dock socket #4,payload.d.5.27,,
8-1,Total power,Charging dock socket #5,payload.d.8.1,,
8-2,L1 power,Charging dock socket #5,payload.d.8.2,,
8-3,L2 power,Charging dock socket #5,payload.d.8.3,,
8-4,L3 power,Charging dock socket #5,payload.d.8.4,,
8-5,L1 current,Charging dock socket #5,payload.d.8.5,,
8-6,L2 current,Charging dock socket #5,payload.d.8.6,,
8-7,L3 current,Charging dock socket #5,payload.d.8.7,,
8-8,N current,Charging dock socket #5,payload.d.8.8,,
8-9,Frequency,Charging dock socket #5,payload.d.8.9,,
8-10,L1-N voltage,Charging dock socket #5,payload.d.8.10,,
8-11,L2-N voltage,Charging dock socket #5,payload.d.8.11,,
8-12,L3-N voltage,Charging dock socket #5,payload.d.8.12,,
8-13,L1-L2 voltage,Charging dock socket #5,payload.d.8.13,,
8-14,L3-L2 voltage,Charging dock socket #5,payload.d.8.14,,
8-15,L1-L3 voltage,Charging dock socket #5,payload.d.8.15,,
8-16,Total import,Charging dock socket #5,payload.d.8.16,,
